Species;Sperm_length_micrometer
D. barbata;2.08743396226415
D. barbata;2.83698113207547
D. barbata;3.95415094339623
D. barbata;2.22992452830189
D. barbata;2.4548679245283
D. barbata;2.60241509433962
D. barbata;3.17071698113208
D. barbata;3.27671698113208
D. barbata;4.90566037735849
D. barbata;4.634
D. barbata;3.20377358490566
D. barbata;3.17788679245283
D. barbata;2.65441509433962
D. barbata;5.3937358490566
D. barbata;2.66856603773585
D. barbata;2.65716981132076
D. barbata;3.64769811320755
D. barbata;3.44388679245283
D. carinata;8.291
D. carinata;10.27
D. carinata;7.713
D. carinata;7.886
D. carinata;10.833
D. carinata;8.041
D. carinata;8.876
D. carinata;11.412
D. carinata;6.874
D. carinata;8.466
D. carinata;14.161
D. carinata;4.572
D. carinata;11.46
D. carinata;9.513
D. carinata;11.205
D. carinata;10.314
D. carinata;12.137
D. carinata;8.733
D. carinata;9.408
D. carinata;5.851
D. curvirostris;7.795
D. curvirostris;7.564
D. curvirostris;7.735
D. curvirostris;6.484
D. curvirostris;5.942
D. curvirostris;6.264
D. curvirostris;6.297
D. curvirostris;5.541
D. curvirostris;7.139
D. curvirostris;7.735
D. curvirostris;6.772
D. curvirostris;6.573
D. curvirostris;6.309
D. curvirostris;6.512
D. curvirostris;6.271
D. curvirostris;4.464
D. curvirostris;6.085
D. curvirostris;6.15
D. curvirostris;6.607
D. curvirostris;5.947
D. curvirostris;5.133
D. curvirostris;5.739
D. curvirostris;7.722
D. curvirostris;6.444
D. curvirostris;6.84
D. curvirostris;5.79
D. curvirostris;6.868
D. curvirostris;5.544
D. curvirostris;4.879
D. curvirostris;5.944
D. curvirostris;5.857
D. curvirostris;5.904
D. curvirostris;8.208
D. curvirostris;6.679
D. curvirostris;8.673
D. dentifera;8.295
D. dentifera;5.858
D. dentifera;6.967
D. dentifera;11.143
D. dentifera;8.362
D. dentifera;8.012
D. dentifera;7.351
D. dentifera;7.153
D. dentifera;9.33
D. dentifera;8.067
D. dentifera;7.644
D. dentifera;5.997
D. dentifera;6.906
D. dentifera;6.443
D. dolicocephala;2.99632653061224
D. dolicocephala;1.85673469387755
D. dolicocephala;1.82540816326531
D. dolicocephala;1.97744897959184
D. dolicocephala;2.09561224489796
D. dolicocephala;1.92051020408163
D. dolicocephala;2.11214285714286
D. dolicocephala;3.31938775510204
D. dolicocephala;2.81224489795918
D. dolicocephala;2.45836734693878
D. dolicocephala;2.98857142857143
D. dolicocephala;2.77581632653061
D. dolicocephala;2.35755102040816
D. dolicocephala;2.36928571428571
D. dolicocephala;3.53214285714286
